TeamName,ProjectTitle,ProjectAbstract
Take Two Technologies,FLOC Traction Splint,"FLOC Traction Splint 

Abstract 

There is a need to return legs to normal length and alignment after femoral breaks. This is to be accomplished by skin traction. Skin traction applies force to the leg, with the intention of bone realignment, without piercing the skin.  

Skin traction can be used for broken femurs, emergency immobilization, immobilization of the limb prior to surgery, and reducing muscle spasms.  

Some issues with traditional skin traction are skin tearing due to shear force, lack of sterility due to the use of foam and a bad fit leading to pressure sores.  

We intend to adjust current designs through changing material to reduce rates of infection, changing how the device mounts to beds to improve portability, and changing how the device is structured to address shear force issues. These design concepts are well within the team's capabilities"
Tolusax Inc.,Novel Endotracheal Tube System,"Securing the airway is crucial in emergency rescues, especially in combat zones. The endotracheal tube (ETT) design, unchanged for nearly a century, is problematic due to its temperature-sensitive PVC material and the need for multiple pressure cuff inflations, which can damage the trachea. Effective intubation often requires head and neck repositioning, not always feasible in emergencies, and extensive medical training. There is an urgent need for a new airway introducer that reduces time, steps, and tools required, enhancing efficiency and safety in emergency airway management."
TREL,Adjustable Trail Rescue E-Bike Litter,"This project addresses the vital need for efficient and safe transportation of injured individuals during search and rescue operations in rugged, hard-to-access terrains. Current methods, which often rely on manual carrying or airlifting, are labor-intensive, physically demanding, and carry the risk of exacerbating patient injuries. The inefficiencies inherent in these practices highlight the necessity for an innovative solution. The Adjustable Trail Rescue E-bike Litter (ATREL), engineered to enhance rescue outcomes in challenging environments, is a lightweight, E-bike-towed litter that offers exceptional maneuverability on rough trails and narrow paths. "
UroVision Systems,Capacitance Flow Urinometer for Field Comabt,"Burn injuries account for 5–10% of combat-related injuries annually, with severe cases requiring precise fluid management to prevent further complications. Urine output is the primary indicator for fluid resuscitation effectiveness, but current urinometers are bulky, inaccurate, and unsuitable for combat conditions. To address this gap, we designed a lightweight, portable urinometer that uses a capacitance-based flow sensor to provide real-time urine output data every 10 minutes. Our system operates in extreme environments, has an IPX7 rating, runs over 24 hours on battery, and integrates with standard medical systems, offering a rugged, reliable solution for field casualty care."
VitalFusion,"A Blood Filtration, Storage, and Eventual Transfusion​","Blood is a vital but limited resource, with a significant number of blood units discarded annually due to expiration. Therefore, there is a need for a reusable medical device that can support a new method of anticoagulating whole blood for prolonged storage and eventual transfusion. This project aims to develop a reusable blood filtration device that exchanges calcium and/or potassium ions with sodium using a chelating ion exchange resin. Additionally, the device will allow for a whole blood unit to be anticoagulated at a time, with a smooth integration with current medical equipment."
B.K.D.F. ChemE Design Group,Separation of Products from the Hydrogenation of CO2 to Produce Methanol,"When CO2 is presented into the atmosphere it poses a significant number of challenges to climate stability, increasing the need for innovative carbon capture. The approach being introduced in this investigation reduces CO2 by hydrogenating it to produce methanol, which can be used as a feedstock or fuel for various processes. This study focuses on designing a system that can separate the products of the hydrogenation of CO2. The main units in the process involve a phase separator, distillation, and absorption column. All the different components will operate under specific temperatures and pressures, allowing for distinct product selectivity and yields."
BIA,Blue Hydrogen to Improve the Atmosphere,"The Blue Hydrogen to Improve the Atmosphere (BIA) project focuses on designing an optimized process to produce 250 million SCFD of blue hydrogen via Auto-Thermal Reforming (ATR) with carbon capture. This design aims to minimize emissions while ensuring economic viability in the U.S. Gulf Coast region. Key aspects include process optimization, heat integration, safety analysis, and economic feasibility, targeting a 90% CO₂ capture rate for federal tax incentives. The final deliverable includes a comprehensive engineering and financial report, supporting the transition to cleaner energy while meeting industry demands."
CME Senior Design,Brief Overview of Process Design in a Distillation and Gas Absorption Column,"This project aims to separate a mixture of liquids to obtain methanol efficiently. To achieve this, the distillation column must either possess a relatively large number of trays or a high reflux rate. In this project, an effort is made to balance both solutions while attempting to achieve a purity of 99.5% methanol from a distillation column. Through material balances and vapor-liquid equilibrium analysis (VLE), an appropriate reflux rate and the number of trays for the distillation column are determined. ​​
"
Engineering Engagement,Blue Hydrogen Production,"This presentation will consist of the process overview and specifications of a blue hydrogen production facility. The major components of this process will be the adsorbent bed for removal of sulfur from the system, the natural gas dehydration system, ethane removal, ATR and Water Gas Shift reactor as well as a separation system to recover the waste and hydrogen product."
Engineers with Passion and Simplicity,Simple Plant Designs to Improve Methanol Production,"Methanol is an important product in many industries, but its production usually creates byproducts such as carbon dioxide and methyl formate which require excessive amounts of feedstock and raise environmental concerns. This project models multiple separation and absorption steps in Aspen HYSYS to increase the purity of methanol and reduce the amount of carbon dioxide. Theoretical calculations suggest the actual reaction yield for methanol is at least 95%. They also estimate 99.8% the amount of carbon dioxide is captured with a monoethanolamine solution. These results develop potential for process improvement and environment protection in methanol production."
Matador Chemical Co.,Downstream Product Separation of CO2 Hydrogenation,"This project provides an extensive analysis on the separation of products from the hydrogenation of CO2. The purpose of this separation is to recover valuable products such as methanol and remove unreacted gases or byproducts to improve process efficiency and purity. The analysis includes material balance calculations for all unit operations, a block flow diagram, a process flow diagram, calculations for feed stages, and the number of stages in each column. Calculations for the distillation column and gas absorber resulted in 16 and 8 respective theoretical stages. The actual number of stages were then calculated using correlations to theoretical stages."
PHAT Engineering,Design of a simple CO2 absorbent column,"This report presents a preliminary investigation into a chemical process involving the mixing and separation of CO₂, CH₄, methanol, and methyl formate, with methanol as the desired product. Simulations in Aspen Hysys aided in equipment sizing and process evaluation. Mass balances and equilibrium data were used to design distillation and absorption columns and estimate the number of theoretical stages required. Flow diagrams illustrate the overall process. Methanol production was calculated at 5,774 kg/h, while Hysys simulations estimated a 97% recovery, yielding 5,596 kg/h."
Tray Chic,Optimizing Distillation and CO2 Gas Absorption for Efficient Separation,"This study focuses on optimizing distillation and gas absorption processes to separate methyl formate (MF), methanol (MeOH), carbon dioxide (CO2), and methane (CH4). Three feed streams were separated into liquid and gas phases. The liquid phase, rich in MF and MeOH, was processed in a distillation column, achieving 99.5% purity with 13 theoretical stages. The gas phase, containing CO2 and CH4, was directed to a CO2 gas absorption column using a 20 wt% monoethanolamine (MEA) solution, achieving 99.8% CO2 absorption efficiency with six theoretical stages.
"
Galeja Innovations,Skyline Cinema,"Located at 18111 Redland Rd. Skyline Cinema will be a modern entertainment destination within San Antonio city limits on a 3.39-acre lot. The project features a 28-foot-high, 230 by 110-foot building that includes six screening rooms, an arcade, and a snack bar offering hot food. With its prime location and family-friendly amenities, Skyline Cinema is poised to become a central gathering place for moviegoers and the local community, offering a fresh and exciting entertainment experience in the area.

"
Jupiter Technologies,New Gymnasium for St. Anthony's Catholic Student Center,"We are designing a gymnasium on a property at 14523 Roadrunner Way where St. Anthony's Catholic Student Center currently stands and is existing. The proposed project site, being separate from the main student center building, presents unique opportunities for designing a safe and functional gymnasium that complements the surrounding environment. The thought is for this gymnasium to not only be use for St. Anthony, but also to give St. Anthony the ability to rent out the area to help the St. Anthony Student Center with daily expenses.  Our team’s comprehensive approach ensures compliance with local, state, and federal regulations while incorporating innovative design solutions tailored to the needs of the center and broader community.
"
LATEC Engineering,San Antonio Animal Shelter,"We are LATEC Engineering, and we have designed the site and building of an animal shelter. The shelter is designed to house up to 20 dogs, 20 cats, and several exotic animals in a safe, comfortable environment tailored to each animal’s unique needs. A veterinarian wing will also be constructed to facilitate on-site medical care. Dog runs will also be placed around the property to provide space for dogs to run around and play. Everything from the drainage, building structure, utilities, and parking lot have been designed by our team. Green designs have also been implemented into the design."
Mission City Engineering,Fire Station #41 Replacement,"The proposed Fire Station #41 Replacement project aims to develop a modern facility that meets the operational, logistical, and safety needs of a growing community. Strategically located for optimal response times, the design includes land development, stormwater management, and utility connections to ensure long-term functionality. The station will feature multiple vehicle bays, living quarters for on-duty personnel, administrative offices, and advanced communication systems. The design prioritizes firefighter safety, site-specific factors, and sustainability while ensuring minimal disruptions to traffic. Coordination with local authorities will ensure the station aligns with existing infrastructure and emergency response requirements. "
Pinnacle Engineering Solutions,"SUMMIT PEAK FUEL  Electric Vehicle, Fueling Station, and Convenience Store Development","The proposed fueling station and convenience store at 9480 Huebner Rd, San Antonio, TX is a modern, multi-fuel service hub designed to accommodate gasoline, diesel, and electric vehicle (EV) charging. As the only station in the area offering EV charging, it supports the transition to sustainable transportation while serving both commuters and local residents. The 5,002-square-foot convenience store will provide essential retail services, enhancing customer convenience. Strategically located in a high-traffic corridor, the project integrates efficient site planning, stormwater management, and environmental best practices, ensuring long-term sustainability and compliance with all regulatory standards."
Runner's Engineering LLC,New Braunfels Search and Rescue Helicopter Hanger,"The New Braunfels Search and Rescue Airport Hangar is a critical infrastructure project to enhance emergency response capabilities. Located at the New Braunfels National Airport, this facility will house and maintain aircraft dedicated to search and rescue operations, including disaster response, medical evacuations, and missing person searches. Key features include secure aircraft storage, maintenance equipment, a first-aid emergency room, and personnel accommodations. With Runners Engineering’s expertise in aviation infrastructure, the project prioritizes innovation, safety, and sustainability, ensuring a high-performance facility that supports rapid and efficient emergency response efforts."
Strider Development,Tech Port Lofts,"This project outlines the design of a multifamily building that integrates commercial and residential spaces to optimize functionality. The building comprises three stories, with the first story dedicated to retail space and the upper two stories designed for residential use. The first story will be constructed using reinforced concrete to provide the necessary strength and durability for high foot traffic and commercial activities. The second and third stories, which house the residential units, will be built using a steel frame structure, offering flexibility, lightweight construction, and cost-effectiveness. This hybrid construction approach ensures a robust foundation for the retail space while maintaining a modern, efficient design for the residential floors. The project emphasizes sustainable building practices, space optimization, and a seamless integration of commercial and residential functionalities to create a cohesive and community-oriented structure.
"
3DCycle,3D Printer Filament Recycling Machine,"The goal of this project is to address cost that is associated with 3D printing recycling by developing a filament recycling machine that will turn failed prints back into a usable spool of filament. Our machine will be designed to be an all-in-one system that incorporates 4 stages of material processing in order to provide a convenient method of recycling primarily for home users and maker spaces. These stages include a shredder, material dryer or heater, extruder, and a spooler.  This machine has the potential to reduce the operational cost of 3D printing and reduce plastic waste.	"
Aventium,BreatheEasy - Digital Inhaler,"The BreatheEasy – Digital Inhaler is a smart, user-friendly device designed to improve asthma and respiratory management. Many users struggle with proper inhaler techniques, such as shaking the device before use, leading to ineffective medication delivery. Our inhaler addresses this by integrating three key sensors: an environmental sensor to monitor air quality, an accelerometer to detect shaking, and a peak flow sensor to track inhalation. It features an ergonomic design for comfort and connects to a mobile app via Bluetooth for real-time feedback. By ensuring correct usage and providing valuable data, BreatheEasy enhances medication effectiveness and user compliance. "
Bit Busters,FPGA Code Compliance,"There is an industry need for a convenient and simple code compliance checker for FPGAs. Existing tools typically require installation on users’ devices and demand technical configurations that can be costly and require engineering expertise. Our solution addresses these challenges by providing a web-based tool that is accessible from any internet-enabled device, eliminating the need for downloads or specialized setup. Users only need a basic understanding of hardware coding to operate it. Our tool allows users to input their code, which is then processed through our code compliance checker to identify and correct errors. The tool outputs both the corrected code and a comprehensive list of detected errors, simplifying the compliance process. "
Dark Sky ECE,The Dark Sky Project,"The city of Bee Cave has earned a “Dark Sky Friendly” designation through having healthy night skies, and they wish to keep this designation through diligent monitoring of their skies’ health. Sponsored by Freese and Nichols, the Dark Sky Project will aid the city by providing an automatic, easy-to-use, and expandable monitoring system to reliably monitor light pollution with. The project will employ remote, self-sustained recording devices which will collect sky health data. This data will then be transmitted wirelessly to a control center to be stored, accessed from, and analyzed. "
DREAMERS,FarmGuard: Camera Alert Surveillance ,"FarmGuard is an advanced camera surveillance system designed to monitor and track cattle in real time, improving farm security and livestock management. Utilizing AI-driven computer vision, the system automatically detects and counts cattle, sending instant alerts to farmers through a connected Android application. By leveraging Jetson Nano, Raspberry Pi, and a handheld Android device hardware, FarmGuard ensures accurate monitoring without the need for constant human supervision. This technology enhances efficiency, reduces losses due to theft or straying entities, and optimizes farm operations, making livestock management smarter and more reliable."
ECMOtion,Compact Cooler-Heater Device for Extracorporeal Life Support,"Extracorporeal Membrane Oxygenation (ECMO) is a critical life support system for
patients with severe heart or lung failure, but current heater/cooler devices have significant limitations such as size, complexity, and portability. This project aims to develop a compact, battery-operated ECMO device with an intuitive interface. Healthcare providers will be able to adjust temperatures and monitor real-time flow rates and temperature data. The device will offer improved heating/cooling stability, a lightweight design, and essential safety features such as an emergency stop function, ensuring greater reliability and patient care."
Force of Will,The Archivist,"The Archivist is a high-speed trading card sorter and cataloging system designed for collectors and sellers who need to efficiently manage large volumes of cards. It was created to solve the problem of time-consuming manual sorting and tracking by automating the process using image recognition and API integration with arbitrary online card catalog and pricing website to identify cards and fetch real-time market values. The system sorts cards into seven customizable bins based on user-defined filters such as rarity or price. With a user-friendly interface and app-generated codes for labeling boxes, it bridges physical card storage with a digital catalog. Designed with cost, durability, and scalability in mind, The Archivist aims to be an affordable and practical solution for the trading card community. "
Modifly,Modifly,"Our project focuses on developing a drone-based system to assist search and rescue operations by guiding trained search and rescue dogs. Using a laser pointer, camera gimbal, and a GPS-enabled dog harness, the drone provides real-time directions without the handler needing to be physically present. This approach increases mission efficiency by quickly directing dogs to critical areas, speeding up the location of missing or injured individuals. Through a custom interface, handlers maintain precise control and situational awareness, ultimately saving valuable time in life-threatening emergencies. By leveraging advanced technology, we aim to make search and rescue efforts faster, safer, and more effective."
Neuromancers,Ecohcharge EV,"The EcohCharge EV project addresses the critical issue of limited access to real-time information on EV charging station availability, a pressing challenge in densely populated areas where charging demand often exceeds supply. The solution to this problem is a vehicle detection system utilizing a machine vision camera, complemented by a secondary infrared sensor as a fail-safe. This system is designed to monitor charging spot occupancy, accurately detect vehicles regardless of their charging status, and relay real-time data to a mobile app. The design prioritizes reliability and user-friendliness, aiming to optimize charging times and improve the efficiency of existing EV infrastructure by providing timely and accurate information on charging station availability."
O.D.D. Guard,O.D.D. Oral Detection Device,O.D.D. Guard is a medical device designed to enhance gum disease detection. The device consists of a mouthpiece equipped with two cameras that capture high-resolution images of the gums. These images are processed through AI technology with an integrated API and GUI. The results are displayed on an LCD screen offering real-time feedback to both dentists and patients. To ensure hygiene and reusability the device features a detachable mouthpiece that is disposable and a film over the cameras that can be disposed of. O.D.D. Guard's goal is to optimize dental training and enhance patient care by significantly reducing examination time.
Rechargeable Power,Lithium Rechargeable Power Source,"This project addresses the environmental and economic challenges associated with the frequent use and disposal of alkaline non-rechargeable battery packs in quarry lubrication units. To provide a more sustainable and cost-effective solution, a newly developed rechargeable battery pack has been designed to withstand multiple charge cycles, extending its lifespan and reducing waste. Accompanying this innovation is a custom-built charging station capable of simultaneously charging multiple batteries, along with an adapter for the lubrication units to ensure proper voltage supply and optimal functionality. By integrating these technologies, the project aims to significantly reduce battery waste, lower energy costs, and promote more sustainable operations in quarry environments."
Sentient Guards,WatchDog-AI,"WatchDog-AI is an advanced physical doorway monitoring system designed to improve both security and efficiency. Using AI-powered facial recognition, laser-based user entry identification, and real-time workflow monitoring, it identifies individuals, tracks movement, and detects unauthorized access. The system helps businesses protect sensitive areas while also highlighting patterns that can optimize daily operations. WatchDog-AI also makes the workplace easier to navigate, replacing cumbersome physical identification cards with a convenient, secure digital alternative. By combining smart technology with this practical design, WatchDog-AI offers a reliable and effective solution to modern workplace challenges. "
Subsurface Squad,Ground Penetrating Radar Imaging System,"This project focuses on developing a Ground Penetrating Radar (GPR) system that operates within the 800-1600 MHz frequency range for subsurface imaging. The goal is to create an affordable and portable solution for detecting buried objects or structures, such as utilities or archaeological artifacts. The design involves using a Jetson Nano microcontroller and a FPGA to process signals transmitted and received by the radar’s antennas, with the data being filtered, amplified, and analyzed in real-time for clear and accurate subsurface detection. "
Waveform Wizards,Automated Ultrasound Diagnostic Application for Thoracic Injuries ,"The Automated Ultrasound project, sponsored by the United States Army Institute of Surgical Research (USAISR), identifies internal injuries, specifically hemothorax and pneumothorax, in remote combat environments. It features a tablet-based app, a portable ultrasound probe, and AI models that provide injury probability scores. The app guides users through each step of the chest scan using a user-friendly interface with visual cues and injury likelihood percentages. Designed for field use the system enables accurate, real-time injury detection to support combat casualty care.  "
AeroRunners,Design & Analysis of a metal 3D printed blade,"The senior design project aims to study, design, and analyze a 3D Metal-Printed turbine blade for a jet engine. Traditional manufacturing methods such as investment casting or sand casting, are widely used for turbine productions, whereas 3D metal printing offers potential cost reduction and shorter lead times, especially for complex geometry. The team will utilize and implement UTSA’s metal 3D printer to design the turbine blade with imbedded cooling ports. Deliverables will include a detailed SolidWorks model, an FEA and CFD analysis. Furthermore, the functionality parameters will be derived based on the analysis."
Autosight Systems,Part Inspection and Defect Classification Device,"The goal of this project is to design and prototype a 5-axis work holding system to streamline visual inspection processes for Sandia National Laboratory.  Inspection of surface defects of small parts is currently performed manually by an operator with a pair of tweezers.  The system allows parts to be viewed repeatably from the same positions and allows for multiple parts to be examined using the same fixture. The proposed solution is able to move linearly in the X and Y axes, as well as rotate about the X and Y axes."
C.R.A.M,Electric Starter for Large Bore Engines.,"The objective was to create a brushless electric starter to start a large bore compression engine. The starter must be electric, brushless, economical, and be able to produce sufficient breakaway torque. The starter must be able to engage and disengage the fly wheel once  the engine is overturned.  "
Degrees of Freedom,Digital Extender,"In many routine and emergency situations, medical professionals perform intubation where a patient's airway has to be cleared to feed an air tube through their windpipe for them to breathe. However, traditional intubation involves the use of a laryngoscope, which poses the risk of injury to both the patient and the professional. The Digital Extender aims to address this by artificially extending the reach of the user's finger, emulate the motion of their finger using linear actuation, and incorporating a haptic feedback system for tactile feedback and increased precision."
Einstein Spawns,Optimizing Condensate Usage to Improve Air Conditioner Efficiency,"This senior design project focuses on optimizing water distribution onto condenser coil surfaces to enhance heat transfer efficiency in HVAC systems. The design incorporates a thin, injection-molded plastic tray with internal channels that deliver water to a capillary mat, ensuring uniform coverage. Key challenges include preventing mold growth, maintaining consistent water flow, and selecting durable materials. The project involves iterative prototyping, computational fluid dynamics (CFD) analysis, and experimental validation. By improving subcooling efficiency, this design aims to contribute to energy savings and increased system longevity in commercial and residential HVAC applications."
Engineers in Motion,Mastering Lunar Terrain: Innovations on Rover Design​,"This senior design project aims to develop an experimental framework to assess the performance of a lightweight lunar vehicle for regolith transportation. The vehicle will be configured with four-wheel drive, each motorized, and capable of navigating varied terrain, including slopes up to 20 degrees and rocky surfaces. The project will involve designing, fabricating, and testing a platform to measure driving power, energy consumption, and drawbar force in simulated lunar conditions. Instrumentation will capture key performance data, providing insights crucial for future lunar infrastructure development under NASA's Artemis program.

"
Insight Engineers,Fabric Relaxing Machine,"The purpose of the project under discussion is to automate the fabric relaxation process at Vibrant Works. The company is a non-profit manufacturer of military products, including pens, helmet chin straps, airplane floorboards, and clothing. Currently, the manual handling and inspection of fabrics relies on human judgment, leading to slow production rates and potential inconsistencies in fabric quality, particularly for clothing applications. This project aims to develop a reliable automated solution that streamlines the fabric relaxation process, thereby enhancing efficiency and product quality. The proposed automation will reduce the reliance on manual labor, promote consistent results, and improve overall operational efficiency, while also considering the unique needs of the 60% visually impaired workforce. Additionally, the solution will comply with all relevant regulatory requirements. "
LEC ,Power Pole Wind Turbine,"The PowerPole Wind Turbine is omni-directional, hubless, vertical axis with the capability to be mounted to the un-utilized space of a utility pole and connected directly to transmission lines will greatly improve our current dependence on more classical methods of power generation while reducing our carbon footprint. The U-Turbine will utilize omni-directional inlets to focus incoming air regardless of direction and increase its velocity along with its energy potential. The final goal is to design a power generation application to produce a functional prototype that can be studied and distributed to all areas with steady wind flow that require power distribution.

"
MJMK Innovators,Compact Cooler Heater Device for Extracorporeal Life Support,"Extracorporeal Membrane Oxygenation (ECMO) is the process of pumping and oxygenating blood outside the body giving the lungs and heart a chance to heal after a traumatic event. The blood needs to return to the body at a desired temperature. Our device provides water to the oxygenator to warm or cool the blood as necessary. The device must pump water at the desired flow rate while accurately recording the flow rate and temperature of the water. The device will be light weight, portable, and battery operable for emergency situations outside of a hospital setting."
Orion Engineering,Texas Tag & Titles Licence Plate Dispenser,The kiosk works to dispense Texas license plates for drivers to pick up in person rather than getting them in the mail. The kiosk designed in this semester of Senior Design II works in tandem with a previous semester's project that dealt in the renewal and dispensing of registration stickers. The project is a prototype for the product that can be expanded on by Texas Tag & Titles.
Roadrunner Rocketeers,Reusable Solid Motor Rocket and Radio Transmittable Payload,"Our project is to design, build, and test a reusable solid motor rocket with a radio transmittable payload for the 2025 NASA Student Launch Competition. We are tasked with designing a vehicle capable of launching 4,000-6,000 feet, landing in less than 90 seconds, and being completely reusable. The rocket will carry a payload that simulates a crewed mission and transmits live telemetry and landing site data to a NASA transceiver across a specified radio frequency. "
RYKR,Strong Glove,"The Strong Glove is designed to assist veterans and first responders with nerve-related injuries that impair hand strength. This innovative glove enhances grip, dexterity, and overall hand functionality, allowing users to perform daily tasks with greater ease and confidence. By restoring essential motor functions, the Strong Glove empowers individuals to regain independence and re-engage in activities they once found difficult or impossible. Through its advanced design, this project aims to improve quality of life and provide a meaningful solution for those facing hand mobility challenges."
Silent Eagle,QL+ Disc Golf Launcher,"The goal is to develop a hand-held frisbee golf disc launcher for Quality of Life Plus (QL+). QL+ works with industry partners that serve our communities as well. Two of those partners are the River Deep Alliance and Craig Hospital of Denver. Craig Hospital is a top tier spinal cord and traumatic brain injury hospital with both in and outpatient services. The River Deep Alliance, founded by Mr. Bob Adwar, is a resource for veteran services providing outings, therapies, and other services for the veteran community.  "
SpringSpan Solutions ,Spring Fatigue and Visual Inspection Tester ,"Sandia National Laboratories faces challenges with small-diameter springs due to manufacturing defects and inaccurate fatigue testing. Current methods do not replicate real-world conditions, causing inconsistencies in load, displacement, and frequency. This project will design a compact, portable device to accurately simulate the stress springs experience during actual use. It will test multiple springs simultaneously, mimicking real displacement and frequency patterns. Cameras will capture images from three angles before and after testing to analyze deformation. Combined with time/load and time/displacement data, this will improve predictions of spring fatigue life and enhance product quality."
TBD Engineering,I.C.E. Analyzer,"Lancer Worldwide is a company that produces post-mix carbonated beverage dispensers and related products. An integral part of many post-mix beverage dispensers is ice storage and delivery (dispensing). Ice storage bins on top of beverage dispensers house agitators and various delivery mechanisms that must be optimized to ensure maximum ice quality at the point of delivery to the customer. In order to quantify improvements made to ice agitation and delivery mechanisms, this team was tasked with the design and production of a piece of test equipment that will quantify the ""quality"" of ice samples collected from a beverage dispensing unit. The ""quality"" of ice pertains to the amount of degradation and changes in physical properties it has experienced through the storage, agitation, and delivery processes within the dispenser. Lancer Worldwide is a company that produces post-mix carbonated beverage dispensers and related products. An integral part of many post-mix beverage dispensers is ice storage and delivery (dispensing). Ice storage bins on top of beverage dispensers house agitators and various delivery mechanisms that must be optimized to ensure maximum ice quality at the point of delivery to the customer. In order to quantify improvements made to ice agitation and delivery mechanisms, this team was tasked with the design and production of a piece of test equipment that will quantify the ""quality"" of ice samples collected from a beverage dispensing unit. The ""quality"" of ice pertains to the amount of degradation and changes in physical properties it has experienced through the storage, agitation, and delivery processes within the dispenser."
